,Dataset,Model,F1 Score,F1 Score Std,Training Time (s),Test Time (s)
148,X_train_1,Bagging (Logistic Regression),0.5504854368932038,0.0,25.11575150489807,0.04831266403198242
149,X_train_1,Random Forest Classifier,0.7312661498708012,0.0,36.07892322540283,0.38288164138793945
150,X_train_1,AdaBoost Classifier,0.6346067415730337,0.0,27.674123287200928,0.37029337882995605
151,X_train_1,SVC,0.21526418786692758,0.0,24.63701367378235,6.130369663238525
152,X_train_1,Stacking Classifier,0.4415300546448087,0.0,125.24661421775818,6.406885862350464
153,X_train_1,XGBoost Classifier,0.7754601226993866,0.0,9.731761693954468,0.014832735061645508
154,X_train_2,Logistic Regression,0.5220406141654285,0.0,4.703848361968994,0.009557962417602539
155,X_train_2,Bagging (Logistic Regression),0.5235032162295893,0.0,27.059659004211426,0.0277407169342041
156,X_train_2,Random Forest Classifier,0.7354675652906487,0.0,35.47200798988342,0.3831329345703125
157,X_train_2,AdaBoost Classifier,0.6039076376554174,0.0,27.661767959594727,0.3713207244873047
158,X_train_2,SVC,0.19859961807765752,0.0,24.55402135848999,6.650649547576904
159,X_train_2,Stacking Classifier,0.4436061863447756,0.0,124.1910662651062,6.333674192428589
160,X_train_2,XGBoost Classifier,0.7727815360127338,0.0,8.826812744140625,0.019521474838256836
161,X_train_3,Logistic Regression,0.5380564863571087,0.0,3.851858615875244,0.011917352676391602
162,X_train_3,Bagging (Logistic Regression),0.5349952061361457,0.0,25.806121349334717,0.025647401809692383
163,X_train_3,Random Forest Classifier,0.7381756756756755,0.0,35.29315781593323,0.384563684463501
164,X_train_3,AdaBoost Classifier,0.6071741032370954,0.0,27.54660129547119,0.3684682846069336
165,X_train_3,SVC,0.2055485498108449,0.0,24.06620192527771,6.129641771316528
166,X_train_3,Stacking Classifier,0.4519985057900635,0.0,123.15800714492798,6.215091943740845
167,X_train_3,XGBoost Classifier,0.7927999999999998,0.0,9.449727773666382,0.01472163200378418
168,X_train_0,Logistic Regression,0.5553869499241275,0.0,4.190611362457275,0.000989675521850586
169,X_train_0,Bagging (Logistic Regression),0.5574102175012645,0.0,25.867341995239258,0.046132564544677734
170,X_train_0,Random Forest Classifier,0.7521968365553603,0.0,35.44884276390076,0.3861403465270996
171,X_train_0,AdaBoost Classifier,0.637546468401487,0.0,27.521776914596558,0.3739652633666992
172,X_train_0,SVC,0.22503328894806923,0.0,25.14998745918274,6.368858575820923
173,X_train_0,Stacking Classifier,0.43956043956043955,0.0,127.5087833404541,6.56718111038208
174,X_train_0,XGBoost Classifier,0.7869529314616021,0.0,9.151432991027832,0.017633676528930664
175,X_train_1,Logistic Regression,0.5475728155339806,0.0,3.6061007976531982,0.0010001659393310547
176,X_train_1,Bagging (Logistic Regression),0.5504854368932038,0.0,25.088518857955933,0.04024195671081543
177,X_train_1,Random Forest Classifier,0.7350794332331472,0.0,35.625027894973755,0.38631534576416016
178,X_train_1,AdaBoost Classifier,0.6346067415730337,0.0,28.085362434387207,0.37828636169433594
179,X_train_1,SVC,0.21526418786692758,0.0,24.77312397956848,6.260613679885864
180,X_train_1,Stacking Classifier,0.4415300546448087,0.0,125.79051423072815,6.411339044570923
181,X_train_1,XGBoost Classifier,0.7754601226993866,0.0,8.710411548614502,0.015354633331298828
